[22/11/2014 10:19:48 PM] : Game Initialized.
[22/11/2014 10:19:50 PM] : Play button clicked.
[22/11/2014 10:19:50 PM] : MapChooser Screen open
[22/11/2014 10:19:50 PM] : Listed all mapfiles from MapFiel folder
[22/11/2014 10:19:51 PM] : Let's Play clicked.
[22/11/2014 10:19:51 PM] : User's map file:14.11.2014 03_47_55 PM.team7
[22/11/2014 10:19:51 PM] : Game Play Started.
[22/11/2014 10:19:51 PM] : Game Play Screen initialized.
[22/11/2014 10:19:52 PM] : Basic Images are loaded successfully.
[22/11/2014 10:19:52 PM] : First Level get started
[22/11/2014 10:19:52 PM] : 5 New Creatures Created.
[22/11/2014 10:19:52 PM] : Game Play Start
[22/11/2014 10:19:54 PM] : Mob Id:0 get started moving.
[22/11/2014 10:19:55 PM] : Tower Id:3 placed at (3,2)
[22/11/2014 10:19:55 PM] : Tower Inspection window showed for Tower:3 at (3,2)
[22/11/2014 10:19:55 PM] : Mob Id:1 get started moving.
[22/11/2014 10:19:56 PM] : Mob Id:2 get started moving.
[22/11/2014 10:19:57 PM] : Mob Id:3 get started moving.
[22/11/2014 10:19:59 PM] : Mob Id:4 get started moving.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
[22/11/2014 10:20:08 PM] : User lost game.
